Time (ms), Brightness (AU)
11,45
17,87
24,136
30,176
37,212
44,252
51,301
57,347
63,387
70,403
76,426
83,435
90,430
97,428
103,437
109,451
116,446
122,440
130,446
136,463
143,460
149,449
156,452
162,467
169,467
176,455
183,457
189,471
196,471
204,458
214,464
223,468
233,467
242,466
251,461
261,476
270,468
279,461
288,466
299,468
308,472
317,467
326,471
335,468
345,471
354,469
364,472
373,476
382,471
392,473
401,471
410,473
419,480
430,470
439,473
448,470
457,472
466,476
476,470
485,473
495,470
504,472
514,470
523,471
532,475
541,469
550,471
561,468
570,470
579,475
588,465
598,467
607,464
616,466
625,470
635,465
645,467
654,463
663,465
672,464
681,466
691,469
701,463
710,465
719,463
729,464
738,469
747,460
756,463
766,459
776,461
785,466
794,461
803,464
813,460
822,462
832,463
841,464
850,468
860,461
869,463
878,461
887,463
898,468
907,459
916,462
925,459
934,461
944,466
953,462
963,465
972,462
982,464
991,465
1000,468
1010,461
1020,457
1032,465
1042,465
1052,480
1062,483
1073,482
1083,484
1094,473
1104,474
1115,475
1125,474
1135,474
1145,474
1156,474
1167,475
1177,476
1187,477
1198,478
1208,479
1218,480
1229,479
1240,479
1250,479
1260,479
1270,481
1281,482
1291,483
1302,483
1312,484
1323,484
1333,482
1343,482
1353,481
1364,481
1375,483
1385,484
1395,484
1405,485
1416,485
1427,485
1437,482
1447,481
1458,481
1468,480
1478,480
1488,480
1500,480
1510,480
1520,480
1530,480
1541,480
1551,478
1562,478
1572,477
1583,477
1593,477
1603,477
1613,477
1624,477
1635,477
1645,476
1655,473
1666,472
1676,471
1686,470
1697,470
1708,470
1718,470
1728,470
1738,470
1748,470
1760,468
1770,467
1780,466
1790,466
1801,467
1811,467
1821,467
1832,468
1843,468
1853,468
1863,464
1873,463
1884,463
1895,463
1905,463
1915,464
1926,464
1936,464
1946,465
1956,465
1968,466
1978,465
1988,464
1998,464
2009,467
2019,468
2030,469
2040,470
2051,470
2061,471
2071,472
2081,472
2093,472
2103,472
2113,472
2123,473
2134,475
2144,476
2154,477
2165,477
2176,478
2186,477
2196,477
2206,477
2216,477
2228,478
2238,479
2248,480
2258,481
2269,481
2279,482
2289,481
2300,481
2311,481
2321,481
2331,483
2341,484
2352,484
2363,485
2373,485
2383,485
2394,484
2404,483
2414,482
2425,482
2436,484
2446,485
2456,485
2466,486
2477,486
2487,486
2498,483
2508,482
2519,481
2529,481
2539,480
2549,481
2561,481
2571,481
2581,481
2591,481
2601,480
2612,479
2623,478
2633,477
2643,477
2654,477
2664,477
2674,477
2684,477
2696,477
2706,477
2716,474
2726,473
2737,472
2747,471
2758,471
2768,471
2779,471
2789,471
2799,471
2809,471
2820,468
2831,467
2841,466
2851,466
2862,466
2872,467
2882,467
2893,467
2904,467
2914,467
2924,464
2934,464
2945,463
2955,463
2966,464
2976,464
2987,465
2997,465
3007,466
3017,466
3028,466
3039,465
3049,465
3059,465
3069,468
3080,469
3091,470
3101,471
3111,471
3122,472
3132,473
3142,472
3152,472
3164,472
3174,472
3184,474
3194,475
3205,476
3215,477
3226,478
3236,479
3247,478
3257,478
3267,478
3277,478
3288,479
3299,480
3309,481
3319,482
3330,483
3340,483
3350,482
3361,482
3372,481
3382,481
3392,483
3402,483
3412,484
3424,484
3434,484
3444,485
3454,483
3465,482
3475,482
3485,482
3496,483
3507,483
3517,484
3527,484
3537,484
3548,485
3559,482
3569,481
3579,480
3590,480
3600,481
3610,481
3620,481
3632,481
3642,481
3652,481
3662,481
3673,478
3683,477
3694,477
3704,476
3715,476
3725,476
3735,476
3745,476
3757,476
3767,476
3777,474
3787,472
3798,472
3808,471
3818,471
3829,471
3840,471
3850,471
3860,471
3870,471
3880,467
3892,467
3902,466
3912,465
3922,466
3933,466
3943,467
3953,467
3964,467
3975,467
3985,465
3995,464
4005,463
4016,463
4027,464
4037,465
4047,465
4058,466
4068,466
4078,467
4089,467
4100,466
4110,466
4120,466
4130,469
4141,470
4151,471
4162,471
4172,472
4183,473
4193,474
4203,473
4213,473
4225,473
4235,473
4245,474
4255,475
4265,477
4276,478
4286,478
4297,479
4307,479
4318,479
4328,479
4338,479
4348,480
4360,481
4370,482
4380,483
4390,483
4401,484
4411,483
4422,483
4432,482
4443,482
4453,484
4463,484
4473,485
4484,485
4495,485
4505,486
4515,484
4526,483
4536,483
4546,483
4557,485
4568,485
4578,486
4588,486
4598,486
4609,486
4619,483
4630,482
4640,481
4651,480
4661,480
4671,480
4681,480
4692,480
4703,480
4713,480
4723,480
4733,478
4744,477
4755,476
4765,476
4775,476
4786,476
4796,476
4806,476
4816,476
4828,475
4838,473
4848,471
4858,471
4869,470
4879,470
4890,470
4900,470
4911,470
4921,470
4931,470
4941,467
4952,466
4963,465
4973,465
4983,465
4994,466
5004,466
5014,467
5025,467
5036,467
5046,464
5056,464
5066,463
5076,463
5088,464
5098,465
5108,466
5118,466
5129,467
5139,467
5149,468
5160,467
5171,467
5181,467
5191,469
5201,470
5212,472
5223,472
5233,473
5243,474
5254,475
5264,474
5274,474
5284,474
5296,474
5306,475
5316,477
5326,478
5337,479
5347,479
5358,480
5368,480
5379,479
5389,479
5399,479
5409,481
5421,482
5431,482
5441,483
5451,484
5462,484
5472,483
5482,482
5493,482
5504,482
5514,483
5524,484
5534,484
5544,485
5556,485
5566,485
5576,484
5586,483
5597,483
5607,483
5617,485
5628,485
5639,486
5649,486
5659,486
5669,486
5680,483
5691,481
5701,481
5711,480
5722,479
5732,480
5742,480
5753,480
5764,480
5774,480
5784,479
5794,477
5805,476
5815,475
5826,475
5836,475
5847,475
5857,475
5867,475
5877,475
5889,475
5899,473
5909,471
5919,471
5929,470
5940,470
5950,470
5961,470
5971,470
5982,470
5992,470
6002,467
6012,466
6024,466
6034,465
6044,466
6054,467
6065,467
6075,467
6086,468
6096,468
6107,465
6117,464
6127,463
6137,463
6148,464
6159,465
6169,465
6179,466
6190,466
6200,467
6210,468
6221,467
6232,467
6242,467
6252,470
6262,471
6273,472
6283,473
6294,474
6304,475
6315,476
6325,475
6335,475
6345,475
6356,475
6367,476
6377,478
6387,479
6397,479
6408,480
6419,481
6429,480
6439,480
6450,480
6460,480
6470,482
6480,483
6492,483
6502,484
6512,485
6522,485
6533,484
6543,483
6554,483
6564,483
6575,484
6585,485
6595,485
6605,486
6616,486
6627,486
6637,484
6647,484
6658,483
6668,483
6678,485
6689,485
6700,485
6710,485
6720,486
6730,486
6740,482
6752,481
6762,480
6772,480
6782,479
6793,479
6803,479
6813,479
6824,479
6835,479
6845,479
6855,476
6865,475
6876,474
6887,474
6897,474
6907,474
6918,474
6928,474
6938,474
6948,474
6960,472
6970,471
6980,470
6990,469
7001,470
7011,470
7022,470
7032,470
7043,470
7053,470
7063,467
7073,466
7085,466
7095,466
7105,466
7115,467
7126,467
7136,468
7146,468
7157,468
7168,465
7178,464
7188,463
7198,463
7208,464
7220,465
7230,466
7240,466
7250,467
7261,467
7271,468
7281,468
7292,468
7303,468
7313,470
7323,471
7333,472
7344,473
7355,474
7365,475
7375,476
7386,475
7396,475
7406,475
7417,475
7428,476
7438,478
7448,479
7458,480
7469,480
7479,481
7490,481
7500,481
7511,481
7521,481
7531,482
7541,483
7553,484
7563,484
7573,485
7583,485
7593,484
7604,483
7614,483
7625,483
7635,484
7646,484
7656,485
7666,485
7676,485
7688,486
7698,484
7708,483
7718,482
7729,482
7739,484
7750,484
7760,485
7771,485
7781,485
7791,485
7801,482
7812,480
7823,480
7833,479
7843,478
7854,478
7864,479
7874,478
7885,478
7896,478
7906,478
7916,476
7926,475
7937,474
7947,473
7958,473
7968,473
7979,473
7989,473
7999,473
8009,473
8020,471
8031,470
8041,469
8051,468
8061,469
8072,469
8083,469
8093,470
8103,470
8114,470
8124,468
8134,467
8144,467
8156,467
8166,467
8176,468
8186,468
8197,468
8207,468
8218,469
8228,465
8239,464
8249,464
8259,464
8269,465
8280,466
8291,466
8301,467
8311,468
8322,468
8332,469
8342,469
8353,469
8364,469
8374,471
8384,472
8394,473
8404,474
8416,475
8426,476
8436,476
8446,476
8457,476
8467,476
8477,476
8488,477
8499,478
8509,479
8519,480
8529,481
8540,482
8551,482
8561,482
8571,481
8582,481
8592,483
8602,484
8612,485
8624,485
8634,486
8644,486
8654,484
8665,484
8675,484
8686,483
8696,484
8707,485
8717,485
8727,486
8737,486
8749,486
8759,484
8769,483
8779,482
8790,482
8800,483
8810,483
8821,483
8832,484
8842,483
8852,483
8862,480
8872,479
8884,478
8894,477
8904,478
8914,478
8925,478
8935,478
8945,478
8956,478
8967,478
8977,476
8987,474
8997,473
9008,472
9019,473
9029,472
9039,472
9050,472
9060,472
9070,472
9081,470
9092,469
9102,468
9112,468
9122,468
9133,469
9143,469
9154,469
9164,469
9175,469
9185,467
9195,466
9205,466
9217,466
9227,466
9237,467
9247,467
9257,467
9268,468
9278,468
9289,465
9299,464
9310,464
9320,463
9330,465
9340,466
9352,467
9362,468
9372,469
9382,469
9393,470
9403,469
9414,469
9424,469
9435,472
9445,473
9455,474
9465,475
9476,476
9487,477
9497,477
9507,477
9518,477
9528,477
9538,477
9549,478
9560,479
9570,480
9580,481
9590,482
9601,482
9611,482
9622,482
9632,482
9643,482
9653,483
9663,484
9673,484
9684,485
9695,485
9705,486
9715,484
9725,484
9736,483
9747,483
