Time (ms), Brightness (AU)
5,0
11,2
17,3
24,5
30,6
36,7
44,9
50,10
56,12
63,13
69,15
76,16
82,18
89,20
96,21
102,23
109,24
115,26
121,27
129,29
135,30
142,32
148,34
154,35
161,37
167,38
175,40
181,41
188,43
194,44
200,46
207,48
214,49
221,51
227,52
234,54
240,56
246,57
253,59
260,60
267,62
273,64
280,65
286,67
293,68
300,70
306,71
313,73
321,75
329,76
338,77
347,78
355,78
363,78
371,78
379,78
388,78
396,78
405,78
413,78
421,78
430,79
438,79
446,79
454,79
462,79
472,79
480,79
488,79
496,78
504,78
513,78
521,78
529,78
538,78
546,79
555,79
563,79
571,79
579,79
587,79
595,78
605,78
613,78
621,78
629,78
637,78
646,78
654,78
662,78
671,78
679,78
688,78
696,78
704,78
712,78
720,78
729,78
738,77
746,77
754,77
762,77
771,77
779,77
787,77
795,77
804,77
813,77
821,77
829,77
837,77
845,77
854,77
862,77
871,77
879,77
887,77
896,77
904,77
912,77
920,77
928,77
937,77
946,77
954,77
962,76
970,76
978,77
987,77
995,77
1004,77
1013,77
1022,77
1032,77
1041,77
1050,77
1059,77
1070,77
1079,77
1088,77
1097,76
1106,77
1116,77
1125,77
1135,77
1144,77
1154,77
1163,77
1172,77
1181,77
1190,77
1201,77
1210,77
1219,77
1228,77
1238,77
1247,77
1256,78
1265,78
1275,78
1285,78
1294,78
1303,78
1312,78
1321,78
1331,78
1341,78
1350,78
1359,78
1369,78
1378,79
1387,79
1396,79
1406,79
1416,79
1425,79
1434,79
1443,79
1453,79
1462,79
1472,79
1481,79
1490,79
1500,79
1509,79
1518,79
1527,79
1538,80
1547,79
1556,80
1565,80
1574,80
1584,80
1593,80
1603,80
1612,80
1622,80
1631,80
1640,80
1649,80
1658,79
1669,80
1678,80
1687,79
1696,79
1705,79
1715,79
1724,79
1734,79
1743,79
1753,79
1762,79
1771,79
1780,79
1789,79
1800,79
1809,79
1818,78
1827,79
1837,79
1846,79
1855,79
1865,79
1874,79
1884,79
1893,79
1902,79
1911,79
1921,79
1930,79
1940,79
1949,79
1958,79
1968,79
1977,78
1986,79
1995,79
2006,78
2015,79
2024,78
2033,79
2042,78
2052,78
2061,78
2071,78
2080,78
2089,78
2099,78
2108,78
2117,78
2126,78
2137,78
2146,78
2155,78
2164,78
2173,78
2183,78
2192,79
2202,78
2211,78
2221,79
2230,78
2239,79
2248,79
2257,79
2268,79
2277,78
2286,79
2295,78
2305,79
2314,78
2323,78
2333,78
2342,78
2352,78
2361,78
2370,78
2379,78
2388,78
2399,78
2408,78
2417,78
2426,78
2436,78
2445,78
2454,78
2464,78
2473,78
2483,78
2492,78
2501,78
2510,78
2520,78
2529,78
2539,78
2548,78
2557,78
2567,78
2576,79
2585,79
2594,78
2605,79
2614,79
2623,79
2632,79
2641,79
2651,79
2660,79
2670,79
2679,79
2689,79
2698,79
2707,79
2716,79
2725,79
2736,79
2745,80
2754,79
2763,80
2772,79
2782,80
2791,80
2801,80
2810,80
2820,80
2829,80
2838,80
2847,80
2856,80
2867,80
2876,80
2885,80
2894,80
2904,80
2913,80
2922,80
2932,80
2941,80
2951,80
2960,80
2969,80
2978,80
2988,80
2998,80
3007,80
3016,80
3025,80
3035,80
3044,80
3053,79
3063,79
3073,79
3082,79
3091,79
3100,79
3109,79
3119,79
3128,79
3138,79
3147,79
3156,79
3166,79
3175,79
3184,78
3193,79
3204,78
3213,78
3222,78
3231,78
3240,78
3250,78
3259,78
3269,78
3278,78
3288,78
3297,78
3306,78
3315,78
3324,78
3335,78
3344,78
3353,78
3362,78
3372,78
3381,78
3390,78
3400,78
3409,78
3419,78
3428,78
3437,78
3446,78
3456,78
3466,79
3475,78
3484,78
3493,79
3503,78
3512,79
3521,79
3531,79
3540,79
3550,78
3559,79
3568,78
3577,79
3587,79
3597,78
3606,79
3615,78
3624,79
3634,79
3643,78
3652,79
3662,78
3672,79
3681,78
3690,78
3699,78
3708,78
3718,78
3727,78
3737,78
3746,78
3756,78
3765,78
3774,78
3783,78
3792,78
3803,78
3812,78
3821,78
3830,78
3840,78
3849,78
3858,78
3868,77
3877,78
3887,77
3896,78
3905,77
3914,77
3923,77
3934,77
3943,77
3952,77
3961,77
3971,77
3980,77
3989,77
3999,77
4008,77
4018,77
4027,77
4036,77
4045,77
4055,77
4065,77
4074,77
4083,77
4092,77
4102,77
4111,77
4120,77
4130,77
4140,77
4149,77
4158,77
4167,77
4176,77
4186,77
4196,77
4205,77
4214,77
