Time (ms), Resistance (Ohms)
0,988.19
1000,1035.60
2001,1035.60
3002,1035.60
4002,1047.52
5004,1035.60
6004,1047.52
7006,1035.60
8006,1035.60
9008,1023.71
10008,1035.60
11009,1023.71
12010,1035.60
13010,1023.71
14012,1035.60
15012,1023.71
16014,1047.52
17014,1035.60
18016,1035.60
19016,1035.60
20018,1035.60
21018,1047.52
22020,1000.00
23020,1035.60
24022,1047.52
25022,1035.60
26022,1035.60
27024,1047.52
28024,1000.00
29026,1083.42
30026,1035.60
31028,1035.60
32028,1035.60
33030,1059.46
34030,988.19
35032,1000.00
36032,1083.42
37033,1035.60
38034,1035.60
39035,1035.60
40036,1035.60
41036,1023.71
42038,1023.71
43038,1035.60
44040,1035.60
45040,1023.71
46042,1083.42
47042,929.49
48044,1047.52
49044,1035.60
50045,1035.60
51046,1011.84
52047,988.19
53048,1035.60
54049,1023.71
55050,1035.60
56050,1035.60
57052,1035.60
58052,1035.60
59054,1047.52
60054,1035.60
61056,1083.42
62056,1035.60
63057,1035.60
64058,1035.60
65059,1023.71
66060,1035.60
67061,1035.60
68062,1047.52
69063,1035.60
70064,1035.60
71065,1000.00
72066,1035.60
73066,1059.46
74067,1035.60
75068,1047.52
76069,1035.60
77070,1071.43
78071,1035.60
79072,1071.43
80073,1059.46
81074,1035.60
82075,1047.52
83076,1011.84
84077,1035.60
85078,1023.71
86079,1047.52
87079,1035.60
88080,1035.60
89081,1035.60
90082,1047.52
91083,1035.60
92084,1035.60
93085,1035.60
94086,1035.60
95087,1035.60
96088,1035.60
97089,1023.71
98089,1035.60
99091,1107.49
100091,1035.60
101093,1035.60
102093,1023.71
103095,1047.52
104095,1035.60
105097,1035.60
106097,1035.60
107099,1000.00
108099,1023.71
109101,1047.52
110101,1023.71
111102,1035.60
112103,1083.42
113104,1071.43
114105,1035.60
115106,1035.60
116107,1035.60
117108,1023.71
118109,1035.60
119110,1119.56
120111,1023.71
121112,1023.71
122113,1035.60
123114,1035.60
124114,1000.00
125116,1035.60
126116,1047.52
127118,1035.60
128119,1035.60
129120,1035.60
130121,964.63
131122,1047.52
132123,1035.60
133124,1035.60
134125,1035.60
