Time (ms), Brightness (AU)
5,14
11,24
17,41
24,50
30,47
36,46
44,46
50,54
57,60
63,57
69,53
76,51
82,56
89,63
96,60
102,56
108,53
115,59
121,65
129,60
135,56
142,53
148,63
154,69
161,59
167,56
175,58
181,66
187,63
194,58
200,55
207,62
214,69
220,61
227,57
233,53
240,65
246,65
252,59
260,56
266,61
273,68
279,62
286,58
292,65
302,67
310,69
318,65
326,63
334,61
343,60
351,58
359,57
368,56
376,55
385,61
393,64
401,66
409,68
417,71
425,65
435,61
443,61
451,59
459,58
467,57
476,56
484,54
492,61
501,64
509,68
518,69
526,71
534,64
542,62
550,60
559,59
568,58
576,56
584,55
592,53
601,61
609,65
617,66
625,68
634,71
643,63
651,61
659,59
667,58
675,57
684,56
692,55
701,59
709,63
717,64
726,66
734,69
742,65
750,62
758,61
768,59
776,58
784,57
792,56
800,55
808,61
817,63
825,65
834,68
842,69
850,64
859,62
867,60
875,58
883,58
891,56
901,55
909,53
917,61
925,63
933,66
942,68
950,71
958,64
967,62
975,60
984,59
992,57
1000,57
1009,64
1018,60
1028,60
1038,66
1047,57
1056,71
1065,55
1075,62
1084,64
1093,59
1103,69
1113,56
1122,63
1131,62
1140,60
1149,68
1159,57
1169,66
1178,60
1187,61
1197,67
1206,58
1215,71
1224,56
1234,62
1244,65
1253,60
1262,69
1271,56
1281,64
1290,63
1300,60
1309,68
1318,57
1328,66
1337,60
1346,61
1355,66
1366,58
1375,72
1384,56
1393,63
1402,65
1412,59
1421,69
1431,57
1440,64
1449,63
1459,60
1468,68
1477,57
1486,66
1496,60
1506,61
1515,66
1524,58
1533,72
1543,56
1552,62
1561,65
1571,59
1581,69
1590,56
1599,63
1608,62
1617,60
1627,67
1637,57
1646,65
1655,59
1665,60
1674,65
1683,58
1692,71
1702,55
1712,61
1721,63
1730,58
1739,68
1748,56
1758,63
1768,62
1777,59
1786,67
1796,56
1805,64
1814,59
1823,60
1833,66
1843,57
1852,71
1861,54
1870,61
1880,64
1889,58
1899,68
1908,56
1917,63
1927,62
1936,59
1945,66
1954,57
1965,64
1974,60
1983,60
1992,66
2001,57
2011,70
2020,55
2030,61
2039,64
2049,59
2058,69
2067,56
2076,63
2085,62
2096,59
2105,67
2114,57
2123,65
2132,60
2142,61
2151,66
2160,58
2170,71
2180,55
2189,62
2198,65
2207,60
2216,70
2226,57
2236,64
2245,63
2254,60
2264,68
2273,58
2282,66
2291,60
2301,61
2311,66
2320,58
2329,71
2338,56
2348,63
2357,65
2367,59
2376,70
2385,56
2395,63
2404,64
2413,61
2422,68
2433,58
2442,66
2451,60
2460,62
2469,67
2479,59
2488,72
2498,56
2507,62
2516,65
2526,59
2535,70
2544,57
2553,64
2564,63
2573,60
2582,68
2591,57
2600,65
2610,60
2619,61
2629,67
2638,58
2648,71
2657,55
2666,62
2675,64
2684,59
2694,69
2704,56
2713,63
2722,62
2732,59
2741,67
2750,56
2759,64
2769,59
2779,61
2788,65
2797,57
2806,71
2816,55
2825,61
2835,64
2844,58
2853,68
2863,56
2872,62
2881,62
2890,59
2900,67
2910,56
2919,64
2928,59
2937,60
2947,66
2956,57
2966,71
2975,55
2984,61
2994,64
3003,58
3012,69
3021,56
3032,62
3041,61
3050,59
3059,67
3068,56
3078,65
3087,60
3097,60
3106,66
3116,58
3125,71
3134,55
3143,62
3152,64
3163,59
3172,69
3181,56
3190,63
3200,63
3209,60
3218,68
3228,57
3237,66
3247,60
3256,61
3265,67
3274,58
3283,71
3293,56
3303,63
3312,65
3321,60
3331,70
3340,56
3349,64
3358,63
3368,60
3378,68
3387,57
3396,65
3405,61
3415,61
3424,67
3434,59
3443,71
3452,56
3462,62
3471,65
3480,59
3489,70
3500,57
3509,64
3518,63
3527,60
3536,68
3546,58
3555,66
3565,61
3574,62
3584,67
3593,58
3602,71
3611,55
3620,62
3631,64
3640,59
3649,69
3658,56
3667,64
3677,63
3686,60
3696,67
3705,57
3715,65
3724,59
3733,61
3742,66
3751,58
3762,71
3771,55
3780,62
3789,64
3799,58
3808,69
3817,55
3827,63
3836,62
3846,59
3855,67
3864,57
3873,64
3883,59
3892,61
3902,65
3911,57
3920,71
3930,55
3939,61
3948,64
3957,58
3968,69
3977,55
3986,63
3995,62
4004,59
4014,67
4023,56
4033,64
4042,59
4051,60
4061,65
4070,57
4079,71
4088,55
4099,61
4108,64
4117,59
4126,69
4135,56
4145,63
4154,62
4164,59
4173,67
4183,57
4192,65
4201,60
4210,60
4219,66
4230,58
4239,71
4248,56
4257,63
4267,65
4276,59
4285,69
4295,57
4304,64
4314,63
4323,60
4332,68
4341,57
4350,65
4361,60
4370,61
4379,66
4388,58
4398,71
4407,56
4416,63
4426,65
4435,59
4445,70
4454,57
4463,64
4472,63
4482,60
4492,68
4501,57
4510,66
4519,60
4529,61
4538,67
4547,58
4556,71
4567,56
4576,62
4585,65
4594,59
4603,69
4613,57
4622,64
4632,64
4641,60
4651,68
4660,57
4669,65
4678,60
4687,61
4698,67
4707,58
4716,71
4725,56
4734,62
4744,64
4753,59
4763,69
4772,56
4782,63
4791,62
4800,60
4809,67
4818,56
4829,64
4838,59
4847,60
4856,65
4866,57
4875,71
4884,54
4894,61
4903,64
4913,59
4922,69
4931,56
4940,63
4950,62
4960,59
4969,67
4978,57
4987,64
4997,60
5006,60
5015,66
5025,57
5035,71
5044,54
5053,61
5062,64
5071,58
5081,68
5091,55
5100,63
5109,62
5118,58
5128,67
5137,57
5146,64
5155,60
5166,61
5175,66
5184,58
5193,71
5202,55
5212,62
5221,64
5231,58
5240,69
5250,56
5259,64
5268,62
5277,59
5286,68
5297,57
5306,65
5315,60
5324,61
5334,66
5343,58
5352,71
5362,56
5371,63
5381,65
5390,59
5399,69
5408,57
5417,64
5428,63
5437,61
5446,68
5455,58
5465,66
5474,60
5483,61
5493,67
5502,58
5512,72
5521,56
5530,63
5539,65
5549,60
5559,70
5568,57
5577,64
5586,64
5596,60
5605,69
5614,57
5624,65
5634,61
5643,61
5652,67
5661,58
5670,71
5680,56
5689,62
5699,65
5708,59
5718,70
5727,56
5736,63
5745,62
5754,59
5765,68
5774,57
5783,65
5792,60
5801,61
5811,66
5820,58
5830,71
5839,55
5849,62
5858,64
5867,58
5876,68
5885,56
5896,63
5905,62
5914,59
5923,67
5933,56
5942,64
5951,59
5961,60
5970,66
5980,57
5989,71
5998,54
6007,61
6017,64
6027,58
6036,68
6045,55
6054,62
6064,62
6073,59
6082,67
6092,56
6102,65
6111,59
6120,60
6129,66
6138,57
6148,71
6158,55
6167,61
6176,64
6185,58
6195,68
6204,56
6213,63
6223,62
6233,59
6242,68
6251,57
6260,65
6269,59
6279,60
6289,66
6298,58
6307,71
6317,56
6326,62
6335,64
6344,59
6353,69
6364,56
6373,63
6382,63
6391,60
6401,68
6410,57
6419,65
6429,61
6438,62
6448,67
6457,59
6466,72
6475,56
6484,63
6495,65
6504,60
6513,69
6522,57
6532,64
6541,64
6550,61
6560,69
6569,57
6579,66
6588,61
6597,61
6606,67
6616,59
6626,72
6635,56
6644,62
6653,65
6663,60
6672,70
6681,57
6691,64
6701,64
6710,60
6719,67
6728,57
6737,66
6747,61
6757,61
6766,67
6775,58
6785,71
6794,55
6803,62
6812,64
6822,58
6832,69
6841,56
6850,63
6859,61
6868,59
6878,67
6887,57
6897,65
6906,59
6916,60
6925,66
6934,57
6943,71
6952,54
6963,61
6972,64
6981,58
6990,68
7000,55
7009,62
7018,62
7028,59
7037,67
7047,56
7056,64
7065,60
7074,61
7084,65
7094,57
7103,70
7112,55
7121,62
7131,64
7140,58
7149,68
7159,55
7169,62
7178,62
7187,59
7196,67
7205,57
7215,64
7225,59
7234,60
7243,65
7252,57
7262,71
7271,55
7280,62
7290,64
7300,58
7309,69
7318,56
7327,63
7336,62
7346,60
7356,68
7365,57
7374,65
7384,60
7393,61
7402,66
7411,58
7421,71
7431,56
7440,63
7449,65
7458,59
7468,70
7477,57
7486,64
7496,63
7505,61
7515,68
7524,57
7533,66
7542,60
7552,61
7562,67
7571,59
7580,71
7589,56
7599,62
7608,65
7617,59
7627,70
7636,57
7646,64
7655,63
7664,60
7673,68
7683,58
7693,65
7702,61
7711,61
7720,67
7730,58
7739,72
7748,56
7758,62
7768,65
7777,60
7786,70
7795,56
7804,63
7814,62
7824,60
7833,68
7842,57
7852,65
7861,59
7870,61
7879,66
7889,58
7899,71
7908,55
7917,62
7926,64
7936,58
7945,69
7955,55
7964,62
7973,62
7983,59
7992,67
8001,56
8010,65
8020,59
8030,60
8039,65
8048,58
8057,71
8067,55
8076,61
8085,64
8095,58
8104,68
8114,55
8123,63
8132,62
8141,59
8151,67
8161,56
8170,64
8179,59
8188,60
8198,65
8207,57
8216,71
8226,55
8236,61
8245,64
8254,58
8263,68
8272,56
8282,63
8292,62
8301,59
8310,67
8320,57
8329,64
8338,60
8347,61
8357,66
8367,58
8376,71
8385,55
8394,62
8403,65
8413,59
8423,69
8432,56
8441,63
8451,63
8460,60
8469,67
8478,57
8488,66
8498,60
8507,62
8516,67
8525,59
8535,71
8544,56
8554,62
8563,65
8572,59
8582,70
8591,57
8600,64
8609,63
8620,60
8629,68
8638,58
8647,66
8656,61
8666,61
8675,67
8685,58
8694,71
8704,56
8713,63
8722,66
8731,59
8740,70
8750,57
8760,64
8769,63
8778,60
8787,69
8797,58
8806,66
8815,61
8825,61
8835,66
8844,58
8853,71
8862,56
8871,62
8881,65
8891,59
8900,69
8909,56
8919,63
8928,62
8937,59
8946,67
8956,57
8966,65
8975,59
8984,60
8993,66
9003,57
9012,71
9022,54
9031,62
9040,64
9050,58
9059,68
9068,55
9077,63
9088,62
9097,59
9106,67
9115,57
9124,65
9134,59
9143,60
9153,65
9162,57
9171,71
9181,55
9190,61
9199,64
9208,58
9219,68
9228,55
9237,62
9246,62
9255,59
9265,67
9274,56
9284,64
9293,59
9303,60
9312,65
9321,57
9330,71
9339,55
9349,62
9359,64
9368,58
9377,68
9387,56
9396,63
9405,62
9414,59
9424,67
9434,57
9443,65
9452,60
9461,61
9470,66
9480,58
9490,71
9499,55
9508,62
9518,64
9527,59
9536,70
9545,57
9555,64
9565,63
9574,60
9583,68
9592,57
9602,66
9611,60
9621,61
9630,67
9639,58
9649,71
9658,56
9667,63
9676,65
9687,59
9696,70
9705,57
9714,64
9723,63
9733,60
9742,68
9752,57
9761,66
9771,61
9780,61
9789,66
9798,58
9807,72
9818,56
9827,63
9836,65
9845,59
9854,70
9864,57
9873,64
9882,63
9892,59
9902,68
9911,57
9920,65
9929,60
9938,61
9948,66
9958,58
9967,71
9976,56
9986,62
9995,64
10004,59
10014,57
10025,56
10036,59
10046,63
10056,66
10066,68
10077,65
10088,62
10098,60
10108,58
10119,56
10129,55
10139,53
10150,62
10161,66
10171,68
10181,72
10191,63
10202,60
10212,59
10223,57
10233,56
10244,53
10254,62
10264,65
10274,68
10286,71
10296,63
10306,61
10316,59
10327,57
10337,56
10347,55
10358,61
10369,65
10379,67
10389,69
10399,64
10409,61
10421,60
10431,59
10441,57
10451,55
10462,61
10472,65
10483,67
10493,69
10504,65
10514,63
10524,61
10534,59
10545,58
10556,56
10566,60
10576,65
10587,67
10597,70
10607,67
10618,63
10629,61
10639,59
10649,58
10659,57
10670,54
10680,64
10691,67
10701,69
10712,72
10722,64
10732,62
10742,59
10754,58
10764,57
10774,54
10784,63
10795,67
10805,69
10816,72
10826,64
10836,62
10847,60
10857,58
10867,57
10877,56
10889,62
10899,66
10909,68
10919,70
10930,65
10940,62
10951,61
10961,59
10972,57
10982,56
10992,61
11002,64
11013,67
11024,69
11034,65
11044,62
11055,60
11065,59
11075,57
11086,55
11097,59
11107,63
11117,66
11127,68
11138,65
11149,62
11159,60
11169,59
11180,57
11190,56
11200,53
11210,62
11222,65
11232,68
11242,71
11252,63
11262,61
11273,59
11284,57
11294,55
11304,54
11315,62
11325,65
11335,68
11345,71
11357,63
11367,61
11377,59
11387,57
11398,56
11408,55
11419,61
11429,64
11440,67
11450,69
11460,64
11470,62
11482,60
11492,58
11502,56
11512,55
11523,60
11533,64
11543,67
11554,70
11565,65
11575,63
11585,61
11595,59
11606,57
11617,56
11627,60
11637,64
11648,67
11658,69
11668,66
11678,63
11689,61
11700,60
11710,58
11720,57
11730,54
11741,64
11752,66
11762,69
11772,73
11783,64
11793,62
11803,60
11814,59
11825,57
11835,54
11845,64
11855,66
11866,69
11876,72
11887,64
11897,62
11908,60
11918,59
11928,57
11938,56
11950,63
11960,66
11970,68
11980,71
11991,65
12001,62
12011,60
12022,58
12033,57
12043,56
12053,61
12063,64
12073,67
12085,70
12095,65
12105,63
12115,60
12126,58
12136,57
12147,55
12157,59
12168,63
12178,66
12188,68
12198,65
12209,63
12220,60
12230,59
12240,57
12251,56
12261,53
12271,62
12282,66
12293,67
12303,71
12313,62
12323,60
12334,59
12344,57
12355,56
12365,54
12376,62
12386,65
12396,68
12406,71
12418,63
12428,61
12438,59
12448,57
12459,56
12469,54
12480,61
12490,64
12500,67
12511,70
12521,64
12531,62
12541,60
12553,58
12563,57
12573,56
12583,61
12594,65
12604,68
12615,70
12625,65
12636,62
12646,61
12656,59
12666,57
12677,56
12688,60
12698,64
12708,67
12719,70
12729,67
12739,64
12750,62
12761,59
12771,58
12781,57
12791,54
12802,64
12813,67
12823,69
12833,72
12844,64
12854,61
12864,61
12874,59
12886,57
12896,55
12906,63
12916,66
12926,69
12937,71
12948,64
12958,62
12968,60
12979,59
12989,57
12999,56
13009,62
13021,66
13031,68
13041,70
13051,64
13062,62
13072,60
13083,59
13093,57
13104,56
13114,60
13124,64
13134,67
13146,70
13156,65
13166,62
13176,60
13187,58
13197,56
13207,55
13218,59
13229,63
13239,66
13249,69
13259,65
13270,62
13281,60
13291,58
13301,57
13312,56
13322,53
13332,62
13342,65
13353,68
13364,66
13374,63
13384,60
13394,59
13405,57
13416,55
13426,53
13436,61
13447,65
13457,67
13467,71
13478,63
13489,61
13499,59
13509,57
13519,56
13530,55
13540,61
13551,65
13561,68
13572,69
13582,64
13592,62
13602,60
13614,58
13624,57
13634,56
13644,61
13655,65
13665,67
13675,70
13686,65
13697,63
13707,61
13717,59
13727,58
13737,56
13749,61
13759,65
13769,67
13779,70
13790,66
13800,63
13811,61
13821,60
13832,58
13842,56
13852,54
13862,64
13873,67
13884,70
13894,73
13904,64
13915,62
13925,60
13935,58
13946,57
13957,55
13967,63
13977,66
13987,68
13998,72
14008,65
14019,62
14029,60
14040,59
14050,57
14060,56
14070,62
14082,65
14092,67
14102,70
14112,65
14123,62
14133,61
14144,59
14154,57
14164,56
14175,60
14185,64
14195,67
14205,69
14217,65
14227,62
14237,60
14247,58
14258,56
14268,55
14279,59
14289,63
14300,66
14310,68
14320,65
14330,62
14341,60
14352,58
14362,57
14372,55
14383,53
14393,62
14403,66
14414,68
14425,66
14435,62
14445,61
14455,58
14466,57
14477,55
14487,53
14497,62
14508,65
14518,67
14528,71
14538,63
14550,61
14560,59
14570,58
14580,56
14590,55
14601,61
14612,65
14622,67
14632,70
14643,64
14653,62
14663,60
14673,58
14685,57
14695,56
14705,61
14715,65
14726,67
14736,69
