Time (ms), Brightness (AU)
5,0
11,0
17,1
24,3
30,4
36,4
44,5
50,7
56,8
63,10
69,11
75,12
82,13
89,14
96,16
102,17
108,18
115,20
121,21
129,23
135,24
142,25
148,26
154,28
161,29
167,30
175,32
181,33
187,35
194,36
200,37
207,39
214,40
221,41
227,42
233,44
240,45
246,47
253,48
260,49
267,51
273,52
279,53
286,54
292,56
300,58
306,59
313,60
320,62
328,63
336,64
345,65
353,65
361,65
370,65
378,65
387,66
395,66
403,66
411,66
419,67
428,67
437,68
445,67
453,67
461,67
470,67
478,67
486,66
494,66
502,67
512,67
520,68
528,68
536,68
544,68
552,68
561,67
569,67
578,67
586,67
594,67
603,67
611,67
619,68
627,68
636,68
645,68
653,68
661,68
669,68
677,68
686,68
694,68
703,67
711,67
719,67
728,68
736,68
744,68
752,68
760,68
770,68
778,68
786,68
794,68
802,68
811,68
819,68
827,68
836,68
844,68
852,68
861,68
869,68
877,68
885,68
893,68
903,68
911,68
919,68
927,68
935,68
944,67
952,68
960,68
969,68
977,68
986,68
994,68
1002,68
1011,68
1020,68
1030,67
1040,67
1049,67
1058,67
1068,67
1077,67
1086,67
1095,67
1105,68
1115,68
1124,68
1133,68
1142,68
1152,68
1161,68
1171,67
1180,67
1189,67
1199,67
1208,67
1217,68
1226,68
1236,68
1246,68
1255,68
1264,68
1273,68
1283,67
1292,67
1301,67
1311,67
1320,67
1330,68
1339,67
1348,68
1357,68
1367,68
1377,68
1386,68
1395,68
1404,68
1414,67
1423,67
1432,67
1442,67
1452,68
1461,68
1470,68
1479,68
1488,68
1498,68
1508,68
1517,68
1526,68
1536,68
1545,68
1554,68
1563,68
1573,68
1583,68
1592,68
1601,68
1610,68
1619,68
1629,68
1639,68
1648,68
1657,68
1667,68
1676,68
1685,68
1694,68
1704,68
1714,68
1723,68
1732,68
1741,68
1751,68
1760,68
1770,68
1779,68
1788,68
1798,68
1807,68
1816,68
1825,67
1836,68
1845,67
1854,68
1863,68
1872,67
1882,68
1891,67
1901,68
1910,67
1920,67
1929,67
1938,67
1947,67
1956,67
1966,67
1976,67
1985,67
1994,67
2003,67
2013,67
2022,67
2031,67
2041,67
2051,67
2060,67
2069,67
2078,67
2087,67
2097,67
2107,67
2116,67
2125,67
2135,67
2144,67
2153,67
2162,67
2172,67
2182,67
2191,67
2200,67
2209,67
2219,67
2228,67
2238,67
2247,68
2256,67
2266,68
2275,67
2284,68
2293,68
2304,67
2313,68
2322,67
2331,68
2340,68
2350,67
2359,68
2369,67
2378,68
2387,68
2397,68
2406,68
2415,68
2424,68
2435,68
2444,68
2453,68
2462,68
2471,68
2481,68
2490,68
2500,68
2509,68
2519,68
2528,68
2537,68
2546,68
2555,68
2565,68
2575,68
2584,68
2593,68
2603,68
2612,68
2621,68
2630,68
2640,68
2650,68
2659,68
2668,68
2677,68
2686,68
2696,68
2706,68
2715,68
2724,68
2734,68
2743,68
2752,68
2761,68
2771,68
2781,68
2790,68
2799,67
2808,68
2818,68
2827,67
2837,68
2846,67
2855,68
2865,68
2874,67
2883,68
2892,67
2903,68
2912,67
2921,68
2930,68
2939,67
2949,68
2958,67
2968,68
2977,67
2987,67
2996,67
3005,67
3014,67
3023,67
3034,67
3043,67
3052,67
3061,67
3070,67
3080,67
3089,67
3099,67
3108,67
3118,67
3127,67
3136,67
3145,67
3154,67
3164,67
3174,67
3183,67
3192,67
3202,67
3211,67
3220,67
3229,67
3239,67
3249,67
3258,67
3267,67
3276,67
3286,68
3295,67
3305,67
3314,68
3323,67
3333,68
3342,68
3351,67
3360,68
3371,67
3380,68
3389,68
3398,68
3407,68
3417,67
3426,68
3436,67
3445,68
3454,68
3464,68
3473,68
3482,68
3491,68
3502,68
3511,68
3520,68
3529,68
3538,68
3548,68
3557,68
3567,68
3576,68
3586,68
3595,68
3604,68
3613,68
3622,68
3633,68
3642,68
3651,68
3660,68
3670,68
3679,68
3688,68
3697,68
3707,68
3717,68
3726,68
3735,68
3744,68
3753,68
3763,68
3773,68
3782,68
3791,68
3801,68
3810,68
3819,68
3828,68
3838,68
3848,68
3857,68
3866,68
3875,68
3885,68
3894,67
3904,68
3913,67
3922,68
3932,68
3941,67
3950,68
3959,67
3970,68
3979,68
3988,67
3997,68
4006,67
4016,68
4025,67
4035,68
4044,67
4054,67
4063,67
4072,67
4081,67
4090,67
4101,67
4110,67
4119,67
4128,67
4137,67
4147,67
4156,67
4166,67
4175,67
4185,67
4194,67
4203,67
4212,67
4221,67
4232,67
4241,67
4250,67
4259,67
4269,67
4278,67
4287,67
4297,67
4306,67
4316,67
4325,67
4334,67
4343,67
4353,68
4362,68
4372,67
4381,68
4390,67
4400,68
4409,68
4418,67
4427,68
4438,67
4447,68
4456,68
4465,67
4474,68
4484,67
4493,68
4503,68
4512,68
4521,68
4531,68
4540,68
4549,68
4558,68
4569,68
4578,68
4587,68
4596,68
4605,68
4615,68
4624,68
4634,68
4643,68
4653,68
4662,68
4671,68
4680,68
4689,68
4700,68
4709,68
4718,68
4727,68
4737,68
4746,68
4755,68
4765,68
4774,68
4784,68
4793,68
4802,68
4811,68
4820,68
4831,68
4840,68
4849,68
4858,68
4868,68
4877,68
4886,68
4896,68
4905,68
4915,68
4924,68
4933,68
4942,68
4952,68
4961,67
4971,68
4980,68
4989,68
4999,68
5008,67
5017,68
5026,67
5037,68
5046,68
5055,67
5064,68
5073,67
5083,68
5092,67
5102,67
5111,67
5121,67
5130,67
5139,67
5148,67
5157,67
5168,67
5177,67
5186,67
5195,67
5204,67
5214,67
5223,67
5233,67
5242,67
5252,67
5261,67
5270,67
5279,67
5288,67
5299,67
5308,67
5317,67
5326,67
5336,67
5345,67
5354,68
5364,67
5373,67
5383,68
5392,67
5401,68
5410,68
5420,67
5430,68
5439,67
5448,68
5457,68
5467,68
5476,68
5485,67
5495,68
5505,67
5514,68
5523,68
5532,68
5541,68
5551,68
5560,68
5570,68
5579,68
5588,68
5598,68
5607,68
5616,68
5625,68
5636,68
5645,68
5654,68
5663,68
5672,68
5682,68
5691,68
5701,68
5710,68
5720,68
5729,68
5738,68
5747,68
5756,68
5767,68
5776,68
5785,68
5794,68
5804,68
5813,68
5822,68
5832,68
5841,68
5851,68
5860,68
5869,68
5878,68
5888,68
5898,68
5907,68
5916,68
5925,68
5935,68
5944,68
5953,68
5963,68
5972,68
5982,67
5991,68
6000,68
6009,67
6019,68
6029,67
6038,68
6047,68
6056,67
6066,68
6075,67
6084,68
6094,67
6104,68
6113,67
6122,67
6131,67
6140,67
6150,67
6159,67
6169,67
6178,67
6188,67
6197,67
6206,67
6215,67
6224,67
6235,67
6244,67
6253,67
6262,67
6272,67
6281,67
6290,67
6300,67
6309,67
6319,67
6328,67
6337,67
6346,67
6355,67
6366,67
6375,67
6384,67
6393,67
6403,67
6412,67
6421,68
6431,67
6440,67
6450,68
6459,67
6468,68
6477,68
6487,67
6497,68
6506,67
6515,68
6524,68
6534,67
6543,68
6552,67
6562,68
6572,68
6581,68
6590,68
6599,68
6608,68
6618,68
6628,68
6637,68
6646,68
6656,68
6665,68
6674,68
6683,68
6693,68
6703,68
6712,68
6721,68
6730,68
6739,68
6749,68
6758,68
6768,68
6777,68
6787,68
6796,68
6805,68
6814,68
6823,68
6834,68
6843,68
6852,68
6861,68
6871,68
6880,68
6889,68
6899,68
6908,68
6918,68
6927,68
6936,68
6945,68
6955,68
6965,68
6974,68
6983,68
6992,68
7002,68
7011,68
7020,68
7030,67
7040,68
7049,68
7058,68
7067,68
7076,67
7086,68
7096,67
7105,68
7114,68
7123,67
7133,68
7142,67
7151,68
7161,67
7171,67
7180,67
7189,67
7198,67
7207,67
7217,67
7227,67
7236,67
7245,67
7255,67
7264,67
7273,67
7282,67
7292,67
7302,67
7311,67
7320,67
7329,67
7339,67
7348,67
7357,67
7367,67
7376,67
7386,67
7395,67
7404,67
7413,67
7422,67
7433,67
7442,67
7451,67
7460,67
7470,67
7479,67
7488,67
7498,67
7507,67
7517,68
7526,67
7535,68
7544,68
7554,67
7564,68
7573,67
7582,68
7591,68
7601,67
7610,68
7619,67
7629,68
7639,68
7648,68
7657,68
7666,68
7675,68
7685,68
7695,68
7704,68
7713,68
7723,68
7732,68
7741,68
7750,68
7760,68
7770,68
7779,68
7788,68
7797,68
7806,68
7816,68
7826,68
7835,68
7844,68
7854,68
7863,68
7872,68
7881,68
7890,68
7901,68
7910,68
7919,68
7928,68
7938,68
7947,68
7956,68
7966,68
7975,68
7985,68
7994,68
8003,68
8012,68
8022,68
8032,68
8041,68
8050,67
8059,68
8069,68
8078,67
8087,68
8097,67
8107,68
8116,68
8125,67
8134,68
8143,67
8153,68
8163,67
8172,68
8181,67
8190,67
8200,67
8209,67
8218,67
8228,67
8238,67
8247,67
8256,67
8265,67
8274,67
8284,67
8294,67
8303,67
8312,67
8322,67
8331,67
8340,67
8349,67
8359,67
8369,67
8378,67
8387,67
8396,67
8406,67
8415,67
8425,67
8434,67
8443,67
8453,67
8462,67
8471,67
8480,67
8491,67
8500,67
8509,67
8518,67
8527,67
8537,68
8546,67
8555,67
8565,68
8574,67
8584,68
8593,68
8602,67
8611,68
8621,67
8631,68
8640,68
8649,68
8658,68
8668,67
8677,68
8686,67
8696,68
8706,68
8715,68
8724,68
8733,68
8742,68
8752,68
8762,68
8771,68
8780,68
8790,68
8799,68
8808,68
8817,68
8827,68
8837,68
8846,68
8855,68
8864,68
8873,68
8883,68
8893,68
8902,68
8911,68
8921,68
8930,68
8939,68
8948,68
8958,68
8968,68
8977,68
8986,68
8995,68
9005,68
9014,68
9024,68
9033,68
9042,68
9052,68
9061,68
9070,68
9079,68
9090,68
9099,67
9108,68
9117,68
9126,68
9136,68
9145,67
9154,68
9164,67
9174,68
9183,68
9192,67
9201,68
9210,67
9220,68
9230,67
9239,67
9248,67
9257,67
9267,67
9276,67
9285,67
9295,67
9305,67
9314,67
9323,67
9332,67
9341,67
9351,67
9361,67
9370,67
9379,67
9389,67
9398,67
9407,67
9416,67
9426,67
9436,67
9445,67
9454,67
9463,67
9473,67
9482,67
9492,67
9501,67
9510,67
9520,67
9529,67
9538,67
9547,67
9558,67
9567,67
9576,67
9585,67
9594,67
9604,68
9613,67
9623,67
9632,68
9641,67
9651,68
9660,68
9669,67
9678,68
9689,67
9698,68
9707,68
9716,68
9725,68
9735,67
9744,68
9753,68
9763,68
9773,68
9782,68
9791,68
9800,68
9809,68
9819,68
9829,68
9838,68
9847,68
9857,68
9866,68
9875,68
9884,68
9894,68
9904,68
9913,68
9922,68
9931,68
9940,68
9950,68
9960,68
9969,68
9978,68
9988,68
9997,68
10006,68
10016,68
10028,68
10038,67
10048,67
10058,67
10068,68
10079,68
10090,68
10100,68
10110,68
10121,68
10131,67
10141,67
10151,68
10163,68
10173,68
10183,68
10193,68
10204,68
10214,68
10225,68
10235,67
10246,67
10256,67
10266,68
10276,68
10288,68
10298,68
10308,68
10318,68
10329,68
10339,67
10349,67
10360,67
10371,67
10381,68
10391,68
10401,68
10412,68
10423,68
10433,67
10443,68
10454,67
10464,67
10474,68
10484,68
10496,68
10506,68
10516,68
10526,68
10536,68
10547,68
10558,68
10568,68
10578,68
10589,68
10599,68
10609,68
10620,68
10631,68
10641,68
10651,68
10661,68
10672,68
10682,68
10693,68
10703,68
10714,68
10724,68
10734,68
10744,68
10756,69
10766,69
10776,68
10786,68
10797,68
10807,68
10817,69
10828,69
10839,69
10849,69
10859,69
10869,69
10880,68
10891,68
10901,68
10911,68
10921,69
10932,69
10942,69
10953,69
10963,69
10974,69
10984,69
10994,69
11004,68
11015,68
11026,69
11036,69
11046,69
11057,69
11067,69
11077,69
11088,69
