Time (ms), Pot (AU), Therm (AU)
0,0,1023
200,0,1023
401,0,1023
602,0,1023
802,0,1022
1003,0,1023
1204,0,1023
1404,0,1023
1605,0,1023
1806,0,1023
2007,0,1023
2207,0,1022
2408,0,1023
2609,0,1023
2809,0,1023
3010,0,1023
3211,0,1023
3411,0,1023
3612,0,1023
3813,0,1023
4014,0,1023
4214,0,1023
4415,0,1023
4616,0,1023
4816,0,1023
5017,0,1023
5218,0,1023
5419,0,1023
5619,0,1023
5820,0,1023
6021,0,1023
6221,0,1023
6422,0,1023
6623,0,1023
6823,0,1023
7024,0,1023
7225,0,1023
7426,0,1023
7626,0,1023
7827,0,1023
8028,0,1023
8228,0,1023
8429,0,1023
8630,0,1023
8830,0,1023
9031,0,1023
9232,0,1023
9433,0,1023
9633,0,1023
9834,0,1023
10035,0,1023
10235,0,1022
10436,0,1023
10637,0,1023
10838,0,1023
11038,0,1023
11239,0,1023
11440,0,1023
11640,0,1023
11841,0,1023
12042,0,1023
12242,0,1023
12443,0,1023
12644,0,1023
12845,0,1022
13045,0,1023
13246,0,1023
13447,0,1023
13647,0,1023
13848,0,1023
14050,0,1023
14251,0,1023
14451,0,1023
14652,0,1023
14853,0,1023
15053,0,1023
15254,0,1022
15455,0,1023
15655,0,1023
15856,0,1023
16057,0,1023
16258,0,1023
16458,0,1023
16659,0,1023
16860,0,1023
17060,0,1022
17261,0,1023
17462,0,1023
17662,0,1023
17863,0,1023
18064,0,1023
18265,0,1023
18465,0,1023
18666,0,1023
18867,0,1023
19068,0,1023
19269,0,1023
19470,0,1023
19671,0,1022
19871,0,1023
20072,0,1023
20273,0,1023
20473,0,1023
20674,0,1023
20875,0,1023
21075,0,1023
21276,0,1023
21477,0,1023
21678,0,1023
21878,0,1023
22079,0,1023
22280,0,1022
22480,0,1023
22681,0,1023
22882,0,1023
23083,0,1023
23283,0,1023
23484,0,1022
23685,0,1023
23885,0,1023
24087,0,1023
24288,0,1023
24488,0,1023
24689,0,1023
24890,0,1023
25091,0,1023
25291,0,1023
25492,0,1023
25693,0,1023
25893,0,1023
26094,0,1023
26295,0,1023
26496,0,1023
26696,0,1023
26897,0,1023
27098,0,1022
27298,0,1023
27499,0,1023
27700,0,1023
27900,0,1023
28101,0,1023
28302,0,1023
28503,0,1023
28703,0,1023
28905,0,1023
29106,0,1023
29306,0,1023
29507,0,1023
29708,0,1022
29908,0,1022
30109,0,1023
30310,0,1023
30511,0,1023
30711,0,1023
30912,0,1023
31113,0,1023
31313,0,1023
31514,0,1023
31715,0,1023
31916,0,1023
32116,0,1023
32317,0,1023
32518,23,1023
32718,140,1023
32919,247,1023
33121,320,1023
33321,361,1022
33522,388,1023
33723,410,1023
33924,421,1023
34124,423,1023
34325,423,1023
34526,422,1023
34727,422,1023
34928,422,1023
35129,423,1023
35330,422,1023
35530,422,1023
35731,422,1023
35932,422,1023
36133,423,1023
36334,422,1023
36535,421,1023
36736,422,1023
36936,422,1022
37137,422,1023
37338,422,1023
37538,422,1023
37740,422,1023
37941,423,1023
38141,422,1022
38342,420,1023
38543,422,1023
38744,422,1023
38944,422,1023
39145,422,1023
39347,422,1023
39547,422,1023
39748,422,1023
39949,423,1023
40150,422,1023
40350,422,1023
40551,420,1023
40753,422,1023
40953,422,1022
41154,422,1023
41355,422,1023
41555,422,1023
41756,422,1023
41957,422,1023
42158,422,1023
42359,420,1023
42560,422,1023
42761,422,1023
42961,422,1023
43162,422,1023
43363,422,1023
43564,421,1023
43764,422,1023
43966,421,1023
44167,421,1023
44367,422,1023
44568,422,1023
44769,422,1023
44969,422,1023
45170,421,1023
45371,422,1023
45573,422,1023
45773,422,1023
45974,421,1023
46175,422,1023
46375,420,1023
46576,422,1023
46777,422,1023
46979,422,1023
47179,421,1023
47380,422,1022
47581,421,1023
47781,422,1023
47982,422,1023
48183,421,1023
48384,422,1023
48585,421,1023
48786,421,1023
48987,422,1023
49187,421,1023
49388,421,1023
49589,422,1023
49789,421,1023
49990,421,1023
50192,422,1023
50393,420,1023
50593,421,1023
50794,422,1022
50995,421,1023
51195,422,1023
51396,422,1023
51597,421,1023
51799,421,1023
51999,422,1023
52200,419,1023
52401,422,1023
52601,421,1022
52802,421,1023
53003,422,1023
53203,421,1023
53405,421,1023
53606,422,1023
53807,422,1023
54007,421,1023
54208,421,1023
54409,419,1023
54609,421,1023
54811,421,1022
55012,421,1023
55213,421,1023
55413,421,1023
55614,422,1023
55815,422,1023
56015,421,1023
56216,419,1023
56418,421,1023
56619,421,1022
56819,421,1023
57020,420,1023
57221,420,1023
57421,421,1023
57622,420,1023
57823,421,1023
58024,421,1023
58225,421,1023
58426,421,1023
58627,421,1023
58827,421,1023
59028,422,1023
59229,420,1023
59430,419,1023
59631,421,1023
59832,421,1023
60033,421,1023
60233,419,1023
60434,421,1023
60635,420,1021
60835,419,1023
61037,421,1023
61238,423,1023
61438,446,1023
61639,526,1023
61840,638,1023
62041,779,1023
62241,936,1023
62442,1021,1023
62644,1022,1023
62844,1022,1023
63045,1023,1023
63246,1022,1023
63447,1023,1023
63647,1023,1023
63849,1023,1023
64050,1023,1023
64250,1023,1023
64451,1023,1023
64652,1023,1022
64854,1023,1023
65054,1023,1023
65255,1023,1023
65456,1023,1023
65656,1023,1023
65857,1022,1022
66059,1023,1023
66259,1023,1023
66460,1023,1023
66661,1023,1023
66862,1023,1023
67062,1023,1023
67264,1023,1023
67465,1023,1023
67665,1023,1023
67866,1022,1023
68067,1023,1022
68268,1023,1023
68469,1022,1023
68670,1023,1023
68871,1023,1023
69071,1023,1022
69272,1023,1022
69473,1023,1023
69675,1023,1023
69875,1023,1023
70076,1023,1023
70277,1023,1023
70477,1023,1023
70678,1023,1023
70880,1023,1023
71080,1023,1023
71281,1023,1023
71482,1023,1023
71683,1023,1023
71883,1023,1023
72085,1023,1023
72286,1023,1023
72486,1023,1022
72687,1023,1022
72888,1023,1023
73089,1023,1023
73290,1023,1023
73491,1023,1023
73692,1022,1023
73892,1022,1023
74093,1023,1023
74294,1023,1023
74496,1023,1023
74696,1023,1023
